topic	playlist	track	audio	transcript
Health	Breastfeeding	How can I be sure that I have enough milk and that my milk is good enough?	https://audiopedia.wiki/images/En-01-08-08.mp3	 Many women think they do not have enough milk. This is almost never true. Even mothers who do not have enough to eat can generally make enough milk for their babies. <br/> <br/> The amount of milk your breasts make (your milk supply) depends on how much the baby suckles. The more the baby suckles, the more milk you will make. If you skip a feeding and give a bottle instead of breast milk, your body will make less milk. <br/> <br/> Some days it may seem like the baby is always wanting to breastfeed. If you feed your baby whenever it is hungry, your milk supply will increase. In a few days the baby will probably seem satisfied again. Night feeding helps to build up a mother’s milk supply. Try not to believe anyone - even a health worker - who says that you do not have enough milk. <br/> <br/> Breasts do not have to feel full to make milk. The more babies a woman has breastfed, the less full her breasts will feel. Small breasts can make as much milk as large breasts. <br/> <br/> A baby is getting enough milk if: <br/> <ul><li> it is growing well, and seems happy and healthy.</li><li>it wets 6 or more times and dirties the diaper (nappy) about 1 to 3 times in a day and night. You can usually tell this after the baby is 5 days old, when the baby will start to pass urine and stool more regularly. A baby older than 2 weeks may not pass stool every day. If the baby is feeding well, wetting, and seems content, the stool will come.</li></ul> <li> it is growing well, and seems happy and healthy.</li>  it is growing well, and seems happy and healthy. <li>it wets 6 or more times and dirties the diaper (nappy) about 1 to 3 times in a day and night. You can usually tell this after the baby is 5 days old, when the baby will start to pass urine and stool more regularly. A baby older than 2 weeks may not pass stool every day. If the baby is feeding well, wetting, and seems content, the stool will come.</li> it wets 6 or more times and dirties the diaper (nappy) about 1 to 3 times in a day and night. You can usually tell this after the baby is 5 days old, when the baby will start to pass urine and stool more regularly. A baby older than 2 weeks may not pass stool every day. If the baby is feeding well, wetting, and seems content, the stool will come.
Health	Breastfeeding	How can I use breastfeeding for child-spacing?	https://audiopedia.wiki/images/En-01-08-05.mp3	 Child-spacing means having babies at least 2 or 3 years apart. This allows a woman’s body to get strong before another pregnancy. For some women, breastfeeding helps them space their children.
Health	Breastfeeding	How long should I breastfeed my baby?	https://audiopedia.wiki/images/En-01-08-02.mp3	 It is best to breastfeed for as long as possible, at least for one year. During the first 6 months, give your baby nothing but breast milk. <br/> <br/> If a nursing mother becomes pregnant, she can continue to breastfeed. Since breastfeeding and pregnancy take a lot from her own body, she should eat plenty of good foods.
Health	Breastfeeding	I work away from home - should I breastfeed my baby anyway?	https://audiopedia.wiki/images/En-01-08-07.mp3	 Many women now work away from their homes. This can make it hard for a mother to give her baby nothing but breast milk during the first 6 months. But your baby could get sick without your milk. A working mother should not have to choose between her work and her child’s health. <br/> <br/> This is why working mothers need help. Some jobs allow a mother to bring her baby for a few months. This makes breastfeeding the easiest. If a mother has child care nearby, she might be able to breastfeed during the day, on her breaks. Some employers organize child-care centers so that parents can have their children close by. <br/> <br/> Here are some ways to make sure your baby gets only breast milk while you are at work: <br/> <ul><li> Keep your baby nearby for 6 months.</li><li>Or have someone bring the baby to you at feeding time.</li><li>When you are with your baby, feed it only from your breasts. If you sleep with the baby at night, it may feed more, and this will help you to make enough milk.</li><li>Some women ask a friend or a relative, like the baby's grandmother, to breastfeed their baby. If you want another woman to breastfeed your baby, she should be tested for HIV and have no risk of becoming infected while breastfeeding.</li><li>Another way a woman can give her baby breast milk during the day is if she can have time at work to remove the milk from her breasts. Then someone else can feed the baby for her. You can remove your milk by hand 2 or 3 times each day, then send or store the milk for someone to feed your baby.</li></ul> <li> Keep your baby nearby for 6 months.</li>  Keep your baby nearby for 6 months. <li>Or have someone bring the baby to you at feeding time.</li> Or have someone bring the baby to you at feeding time. <li>When you are with your baby, feed it only from your breasts. If you sleep with the baby at night, it may feed more, and this will help you to make enough milk.</li> When you are with your baby, feed it only from your breasts. If you sleep with the baby at night, it may feed more, and this will help you to make enough milk. <li>Some women ask a friend or a relative, like the baby's grandmother, to breastfeed their baby. If you want another woman to breastfeed your baby, she should be tested for HIV and have no risk of becoming infected while breastfeeding.</li> Some women ask a friend or a relative, like the baby's grandmother, to breastfeed their baby. If you want another woman to breastfeed your baby, she should be tested for HIV and have no risk of becoming infected while breastfeeding. <li>Another way a woman can give her baby breast milk during the day is if she can have time at work to remove the milk from her breasts. Then someone else can feed the baby for her. You can remove your milk by hand 2 or 3 times each day, then send or store the milk for someone to feed your baby.</li> Another way a woman can give her baby breast milk during the day is if she can have time at work to remove the milk from her breasts. Then someone else can feed the baby for her. You can remove your milk by hand 2 or 3 times each day, then send or store the milk for someone to feed your baby. <p><strong>IMPORTANT:</strong> Milk that cannot be kept cold will spoil and should be thrown out. If milk smells sour or strange, throw it out. Spoiled breast milk can make a baby very sick.<br/><br/><br/></p>
Health	Breastfeeding	What should I eat while breastfeeding?	https://audiopedia.wiki/images/En-01-08-04.mp3	 Mothers need to eat well to recover from pregnancy, to care for their babies, and for all the other work they do. They need plenty of foods rich in protein, fats, and lots of fruits and vegetables. They also need to drink plenty of liquid - clean water, milk, herb teas, and fruit juices. But no matter how a woman eats and drinks, her body will make good breast milk. <br/> <br/> Eat and drink enough to satisfy hunger and thirst. Avoid alcohol, tobacco, drugs and unnecessary medicines. Clean water, fruit and vegetable juices, and milk and herb teas are better than coffee and sodas. <br/> <br/> Some people believe that new mothers should not eat certain foods. But if a mother does not get a balanced diet, it can lead tomalnutrition, weak blood (anemia), and other sickness. <br/> <br/> Sometimes women are given special foods during breastfeeding. These practices are good, especially if the foods are nutritious. Good foods help a woman’s body to grow healthy and strong more quickly after childbirth. <br/> <br/> A woman needs extra food if: <br/> <ul><li> she is breastfeeding 2 young children.</li><li>she is breastfeeding one child and is also pregnant.</li><li>her children are spaced closer than every 2 years.</li><li>she is sick or weak.</li></ul> <li> she is breastfeeding 2 young children.</li>  she is breastfeeding 2 young children. <li>she is breastfeeding one child and is also pregnant.</li> she is breastfeeding one child and is also pregnant.
Health	Breastfeeding	When should I stop breastfeeding?	https://audiopedia.wiki/images/En-01-08-06.mp3	 A baby is ready for other feedings when: <br/> <ul><li> it is about six months old, or older.</li><li>it starts to grab food from the family or from the table.</li><li>it does not push food out with its tongue.</li></ul> <li> it is about six months old, or older.</li>  it is about six months old, or older. <li>it starts to grab food from the family or from the table.</li> it starts to grab food from the family or from the table. <li>it does not push food out with its tongue.</li> it does not push food out with its tongue. <p>Between 6 months and 1 year, give breast milk whenever the baby wants it. Do not give other foods before 4 months. Even if it is eating other foods, it still needs as much breast milk as before. Follow breastfeeding with other foods, 2 or 3 times a day at first. Begin with a soft, mild food, like cereal or porridge. Some women mix these with breast milk. You do not need expensive baby cereals.<br/><br/>If a baby does not seem happy or well-fed with breastfeeding, and it is between 4 and 6 months old, it may simply need to suckle more so that the mother’s breasts will make more milk. The mother should breastfeed the baby as often as the baby wants for about 5 days. If the baby is still unhappy, then she should try other foods: Mash all foods very fine at first until the baby can chew by itself. Use a cup or bowl and spoon to feed the baby.<br/><br/>Babies need to eat often - about 5 times a day. Each day, they should have some main food (porridge, maize, wheat, rice, millet, potato, cassava), mixed with a body building food (beans, finely ground nuts, eggs, cheese, meat or fish), brightly colored vegetables and fruits, and an energy-rich food (finely ground nuts, spoonful of oil, margarine or cooking fat). You do not have to cook 5 times a day. Some meals can be given as a cold snack.<br/><br/>Add new foods one at a time. By about 9 months to 1 year, a baby can eat most family foods if they are cut up and made easy to eat.<br/><br/>Even in the second year, breast milk continues to protect your child against infection and other health problems. If you can, keep breastfeeding until the child is at least 2 years old, even if you have another baby. Most babies will slowly stop breastfeeding on their own.<br/><br/><br/></p> Between 6 months and 1 year, give breast milk whenever the baby wants it. Do not give other foods before 4 months. Even if it is eating other foods, it still needs as much breast milk as before. Follow breastfeeding with other foods, 2 or 3 times a day at first. Begin with a soft, mild food, like cereal or porridge. Some women mix these with breast milk. You do not need expensive baby cereals. <br/> <br/> If a baby does not seem happy or well-fed with breastfeeding, and it is between 4 and 6 months old, it may simply need to suckle more so that the mother’s breasts will make more milk. The mother should breastfeed the baby as often as the baby wants for about 5 days. If the baby is still unhappy, then she should try other foods: Mash all foods very fine at first until the baby can chew by itself. Use a cup or bowl and spoon to feed the baby. <br/> <br/> Babies need to eat often - about 5 times a day. Each day, they should have some main food (porridge, maize, wheat, rice, millet, potato, cassava), mixed with a body building food (beans, finely ground nuts, eggs, cheese, meat or fish), brightly colored vegetables and fruits, and an energy-rich food (finely ground nuts, spoonful of oil, margarine or cooking fat). You do not have to cook 5 times a day. Some meals can be given as a cold snack. <br/> <br/> Add new foods one at a time. By about 9 months to 1 year, a baby can eat most family foods if they are cut up and made easy to eat.
Health	Breastfeeding	Why can other than breastfeeding be harmful?	https://audiopedia.wiki/images/En-01-08-03.mp3	 Companies that make artificial milk (infant formula) want mothers to feed their babies formula instead of breast milk so that the companies can make money. Using bottles or giving formula is often very unsafe. Millions of babies fed with bottles or formula have become malnourished or sick, or have died. <br/> <br/> Formula and other milks, such as tinned milk or the milk of animals, do not protect babies from disease. <br/> <br/> Formula and other milks can cause sickness and death. If the bottle, nipple, or water used to make the formula is not boiled long enough, the baby will swallow harmful germs and get diarrhea. <br/> <br/> When babies drink from the breast, they use their tongue to suckle, or ‘milk’ the breast. It is very different from what a baby’s mouth does when sucking on a bottle. By sucking on a bottle the baby may forget how to suckle well on the breast. And if the baby does not suckle on the breast enough, the mother’s milk supply will decrease, and the baby will stop feeding from the breast completely. <br/> <br/> Bottle-feeding costs a lot of money. For one baby, a family would need 40 kg of formula powder in the first year. Buying a day’s worth of formula and enough fuel to boil water can cost more than the family earns in a week - or even a month. Some parents try to make the milk or formula last longer by using less powder or more water. This makes a baby malnourished, grow more slowly and get sick more often. <br/> <br/>
Health	Breastfeeding	Why is breast best for my baby?	https://audiopedia.wiki/images/En-01-08-01.mp3	 Breastfeeding is one of the oldest and healthiest practices in the world. But as the world changes, women sometimes need information and support to keep breastfeeding their babies. <br/> <br/> Breastfeeding is important because: <br/> <ul><li> Breast milk is the only perfect food to help a baby grow healthy and strong.</li><li>Breastfeeding helps the womb stop bleeding after birth.</li><li>Breast milk protects the baby against illnesses and infections like diabetes, cancer, diarrhea, and pneumonia. The mother’s defenses against illness are passed on to the baby through her milk.</li><li>Breastfeeding helps protect the mother against diseases like cancer and weak or brittle bones (osteoporosis).</li><li>When a woman breastfeeds her baby, the milk is always clean, always ready, and always the right temperature.</li><li>Breastfeeding helps the mother and baby feel close and secure.</li><li>For some women, giving their babies nothing but breast milk can help protect them from becoming pregnant again too soon.</li><li>Breastfeeding is free.</li></ul> <li> Breast milk is the only perfect food to help a baby grow healthy and strong.</li>  Breast milk is the only perfect food to help a baby grow healthy and strong. <li>Breastfeeding helps the womb stop bleeding after birth.</li> Breastfeeding helps the womb stop bleeding after birth. <li>Breast milk protects the baby against illnesses and infections like diabetes, cancer, diarrhea, and pneumonia. The mother’s defenses against illness are passed on to the baby through her milk.</li> Breast milk protects the baby against illnesses and infections like diabetes, cancer, diarrhea, and pneumonia. The mother’s defenses against illness are passed on to the baby through her milk. <li>Breastfeeding helps protect the mother against diseases like cancer and weak or brittle bones (osteoporosis).</li> Breastfeeding helps protect the mother against diseases like cancer and weak or brittle bones (osteoporosis). <li>When a woman breastfeeds her baby, the milk is always clean, always ready, and always the right temperature.</li> When a woman breastfeeds her baby, the milk is always clean, always ready, and always the right temperature. <li>Breastfeeding helps the mother and baby feel close and secure.</li> Breastfeeding helps the mother and baby feel close and secure.
Health	Cancer	How can I prevent cancer?	https://audiopedia.wiki/images/En-01-14-03.mp3	 The direct causes of most cancers are not known.  <br/> <br/> Healthy living can prevent many cancers. This means eating nutritious food and avoiding things that may cause cancer. For example: <br/> <br/> Do not smoke or chew tobacco. <br/> <br/> Try to avoid harmful chemicals in your home or workplace, including foods grown or preserved with them. <br/> <br/> Breast lumps are very common in most women, especially soft, fluid-filled ones (called cysts). These usually change during a woman’s monthly cycle, and sometimes feel sore or painful when pressed. Few breast lumps are cancer. But since breast cancer is always a possibility, a woman should try to examine her breasts for lumps once a month. <br/> <br/> Cancer of the liver can be caused by hepatitis B and C. Hepatitis B and C can be prevented by having safer sex and not sharing needles. Also, there is a vaccine for hepatitis B. Babies can be vaccinated at birth. Adults can be vaccinated at any time. <br/> <br/> A new vaccine, called ‘HPV vaccine’, to protect youth against cervical cancer has been developed and is in use in many countries. It must be given to girls before they start having sexual intercourse. Ask a health worker if it is available where you live. <br/> <br/> IMPORTANT: Cancer can be cured if it is found and treated early.
Health	Cancer	What are harmful beliefs about cancer?	https://audiopedia.wiki/images/En-01-14-02.mp3	 Women often do not see a health worker or doctor unless they are very sick. So women who get cancer are more likely to get very sick or die because the cancer is not found early enough. Also, women who get cancer are sometimes considered ‘cursed’ and may be shunned by their families or communities. This isolation is not only bad for the women who are sick, but also for the whole community, since it keeps everyone from knowing about how cancer makes people sick. <br/> <br/>
